Date,Open,High,Low,Close*,Adj. close**,Volume
28-Dec-17,267,278.8,267,275.25,275.25,"2,29,38,436"
29-Dec-17,276.75,276.75,270.7,273.55,273.55,"50,07,765"
01-Jan-18,273,277.9,270,271.15,271.15,"46,14,411"
02-Jan-18,274.4,274.4,268.1,271.9,271.9,"45,46,324"
03-Jan-18,273.4,279.35,273.1,276.5,276.5,"72,85,874"
04-Jan-18,277.1,281.3,274.8,279.8,279.8,"1,03,46,774"
05-Jan-18,282,284,275.1,276.4,276.4,"70,84,973"
08-Jan-18,277,279.05,273.7,276.15,276.15,"41,57,464"
09-Jan-18,277.55,277.55,270.65,271.5,271.5,"51,97,857"
10-Jan-18,272.8,276.5,266.6,268.8,268.8,"74,72,579"
11-Jan-18,268.8,271.15,266.8,267.75,267.75,"65,02,479"
12-Jan-18,269,271.6,266.65,268.85,268.85,"44,35,500"
15-Jan-18,270.2,274.65,265.8,266.7,266.7,"65,92,272"
16-Jan-18,267.8,268,259.7,260.55,260.55,"84,47,591"
17-Jan-18,260.3,265.25,256.45,262.75,262.75,"1,10,37,340"
18-Jan-18,263.7,263.7,252.1,253.9,253.9,"1,13,41,249"
19-Jan-18,254,259.35,252.2,258,258,"58,98,314"
22-Jan-18,258,258.8,251.1,255.1,255.1,"62,30,212"
23-Jan-18,256.1,270.7,256.1,264.95,264.95,"1,74,00,430"
24-Jan-18,263.55,264.4,256.8,258.7,258.7,"64,09,442"
25-Jan-18,259.3,266.85,256.4,258.95,258.95,"1,52,54,979"
29-Jan-18,261.6,263.9,253.4,258.6,258.6,"59,90,929"
30-Jan-18,257.75,258,252.55,253.55,253.55,"52,86,436"
31-Jan-18,253.4,263.2,252,256.15,256.15,"1,75,14,495"
01-Feb-18,257.8,259.5,248.75,256.25,256.25,"89,40,788"
02-Feb-18,256.45,261.65,245.75,249.85,249.85,"2,17,37,420"
05-Feb-18,242.5,249.4,240.25,246.6,246.6,"84,62,501"
06-Feb-18,236,248.5,232.5,244.4,244.4,"1,04,73,645"
07-Feb-18,245,253,244.1,246,246,"1,37,07,458"
08-Feb-18,245.6,249.35,240.5,245.2,245.2,"1,01,80,978"
09-Feb-18,240,245.5,237.35,243.5,243.5,"70,24,965"
12-Feb-18,247,247.65,242,243.25,243.25,"55,57,349"
14-Feb-18,246.3,246.55,241.75,243.25,243.25,"71,21,280"
15-Feb-18,245.5,254.25,244,251.5,251.5,"1,00,53,559"
16-Feb-18,255.5,256.95,246.4,247.65,247.65,"76,29,453"
19-Feb-18,248.1,250.5,242.6,247.55,247.55,"60,56,718"
20-Feb-18,247.8,252.4,246.8,248.8,248.8,"47,78,807"
21-Feb-18,250.5,250.8,238.75,240.65,240.65,"1,19,01,519"
22-Feb-18,238.5,241,233.85,239.9,239.9,"1,31,20,748"
23-Feb-18,241.5,247.45,240.05,246.55,246.55,"69,08,252"
26-Feb-18,246.55,251.45,244.6,246.2,246.2,"65,22,004"
27-Feb-18,248.65,249.9,243.35,244.3,244.3,"48,05,004"
28-Feb-18,240.75,246.65,238.65,245.4,245.4,"87,47,792"
01-Mar-18,243.4,247,239,240.8,240.8,"57,67,109"
05-Mar-18,236,236,228.2,229.6,229.6,"1,24,25,050"
06-Mar-18,231,235.1,224.15,225.85,225.85,"1,24,88,311"
07-Mar-18,222,225.3,219.1,224.45,224.45,"1,39,60,066"
08-Mar-18,226.5,227.5,217.7,222.7,222.7,"77,33,982"
09-Mar-18,224.7,226.15,219.35,220.2,220.2,"1,34,33,660"
12-Mar-18,220.05,228.6,217.4,227.65,227.65,"95,31,278"
13-Mar-18,225,227.95,222.5,226.15,226.15,"99,90,633"
14-Mar-18,223.5,227.9,221.7,226.7,226.7,"63,85,584"
15-Mar-18,226,227.1,223,224.9,224.9,"67,30,350"
16-Mar-18,224,227.3,220.15,221.7,221.7,"77,93,461"
19-Mar-18,222.7,223.9,212,214.55,214.55,"67,80,348"
20-Mar-18,211,218.8,210.3,217.3,217.3,"96,00,657"
21-Mar-18,219,219.85,213.3,214.7,214.7,"88,17,896"
22-Mar-18,215.7,219.2,212.6,216.8,216.8,"83,62,938"
23-Mar-18,209,210.7,204.3,206.1,206.1,"1,28,19,120"
26-Mar-18,205.35,211.5,202.6,210.55,210.55,"1,01,87,531"
27-Mar-18,212.9,219.3,210.15,218.5,218.5,"1,55,63,344"
28-Mar-18,216.5,216.5,212.3,214.55,214.55,"1,38,61,721"
